date,week,lecture_topic,reading_title,reading_url,category,priority,notes
2025-02-25,Week 4,Foundation 3: Model architectures,"Geometric Deep Learning: Grids, Groups, Graphs, Geodesics, and Gauges",https://arxiv.org/abs/2104.13478,Model architectures,must-read,用对称性、群、图、流形等视角统一解释不同结构数据上的深度学习模型。
2025-02-25,Week 4,Foundation 3: Model architectures,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://arxiv.org/abs/2010.11929,Model architectures,must-read,将图像切成 patch token 后使用 Transformer 做视觉识别，推动视觉模型从 CNN 向 ViT 迁移。
2025-02-25,Week 4,Foundation 3: Model architectures,Attention Is All You Need,https://arxiv.org/abs/1706.03762,Model architectures,must-read,提出完全基于自注意力的 Transformer 架构，成为 LLM、ViT 和多模态 Transformer 的核心基础。
2025-02-25,Week 4,Foundation 3: Model architectures,Neural Machine Translation by Jointly Learning to Align and Translate,https://arxiv.org/abs/1409.0473,Model architectures,recommended,在神经机器翻译中引入对齐/attention 思路，为序列建模和跨模态对齐提供早期基础。
2025-02-25,Week 4,Foundation 3: Model architectures,Deep Sets,https://arxiv.org/abs/1703.06114,Model architectures,must-read,刻画 permutation-invariant set function 的神经网络建模形式，是集合输入建模的经典基础。
2025-02-25,Week 4,Foundation 3: Model architectures,Graph Attention Networks,https://arxiv.org/abs/1710.10903,Model architectures,must-read,把 attention 机制引入图神经网络，用邻居自适应权重进行图表示学习。
2025-02-25,Week 4,Discussion 1: Learning and generalization,Learning the Bitter Lesson,https://arxiv.org/pdf/2410.09649,"Data, representation, and generalization",recommended,与《Discussion 1: Learning and generalization》相关；核心贡献需进一步阅读确认。
2025-02-25,Week 4,Discussion 1: Learning and generalization,Unifying Grokking and Double Descent,https://arxiv.org/pdf/2303.06173,"Data, representation, and generalization",recommended,与《Discussion 1: Learning and generalization》相关；核心贡献需进一步阅读确认。
2025-02-25,Week 4,Discussion 1: Learning and generalization,Generalization in Neural Networks,https://arxiv.org/pdf/2209.01610,"Data, representation, and generalization",recommended,与《Discussion 1: Learning and generalization》相关；核心贡献需进一步阅读确认。
2025-02-25,Week 4,Discussion 1: Learning and generalization,Textbooks are all you Need,https://arxiv.org/pdf/2306.11644,"Data, representation, and generalization",recommended,与《Discussion 1: Learning and generalization》相关；核心贡献需进一步阅读确认。
2025-02-25,Week 4,Discussion 1: Learning and generalization,A Conceptual Pipeline for Machine Learning,https://arxiv.org/pdf/2207.07528,"Data, representation, and generalization",recommended,与《Discussion 1: Learning and generalization》相关；核心贡献需进一步阅读确认。
2025-03-04,Week 5,Multimodal 1: Connections and alignment,"Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions",https://arxiv.org/abs/2209.03430,Multimodal learning,must-read,从原则、挑战和开放问题层面总结多模态机器学习，为课程多模态模块提供总览框架。
2025-03-04,Week 5,Multimodal 1: Connections and alignment,What Makes for Good Views for Contrastive Learning?,https://arxiv.org/abs/2005.10243,Multimodal learning,must-read,分析 contrastive learning 中不同 view 设计对表示质量的影响。
2025-03-04,Week 5,Multimodal 1: Connections and alignment,Characterization and classification of semantic image-text relations,https://link.springer.com/article/10.1007/s13735-019-00187-6,Multimodal learning,recommended,与《Multimodal 1: Connections and alignment》相关；核心贡献需进一步阅读确认。
2025-03-04,Week 5,Multimodal 1: Connections and alignment,"When and why vision-language models behave like bags-of-words, and what to do about it?",https://arxiv.org/abs/2210.01936,Large foundation models,recommended,与《Multimodal 1: Connections and alignment》相关；核心贡献需进一步阅读确认。
2025-03-06,Week 5,Discussion 2: Modern AI architectures,Scaling Laws for Generative Mixed-Modal Models,https://arxiv.org/abs/2301.03728,Model architectures,recommended,与《Discussion 2: Modern AI architectures》相关；核心贡献需进一步阅读确认。
2025-03-06,Week 5,Discussion 2: Modern AI architectures,Not All Tokens Are What You Need for Pretraining,https://arxiv.org/abs/2404.07965,Model architectures,recommended,与《Discussion 2: Modern AI architectures》相关；核心贡献需进一步阅读确认。
2025-03-06,Week 5,Discussion 2: Modern AI architectures,PaLI: A Jointly-Scaled Multilingual Language-Image Model,https://arxiv.org/abs/2209.06794,Multimodal learning,recommended,与《Discussion 2: Modern AI architectures》相关；核心贡献需进一步阅读确认。
2025-03-06,Week 5,Discussion 2: Modern AI architectures,The Evolution of Multimodal Model Architectures,https://arxiv.org/abs/2405.17927,Multimodal learning,recommended,与《Discussion 2: Modern AI architectures》相关；核心贡献需进一步阅读确认。
2025-03-06,Week 5,Discussion 2: Modern AI architectures,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://arxiv.org/abs/2010.11929,Model architectures,must-read,将图像切成 patch token 后使用 Transformer 做视觉识别，推动视觉模型从 CNN 向 ViT 迁移。
2025-03-06,Week 5,Discussion 2: Modern AI architectures,A ConvNet for the 2020s,https://arxiv.org/abs/2201.03545,Model architectures,recommended,与《Discussion 2: Modern AI architectures》相关；核心贡献需进一步阅读确认。
2025-03-06,Week 5,Discussion 2: Modern AI architectures,Inductive Representation Learning on Large Graphs,https://arxiv.org/abs/1706.02216,Model architectures,must-read,系统梳理表示学习的目标、方法和开放问题，是理解后续 self-supervised 与 foundation model 的基础综述。
2025-03-06,Week 5,Discussion 2: Modern AI architectures,Janossy Pooling: Learning Deep Permutation-Invariant Functions for Variable-Size Inputs,https://arxiv.org/abs/1811.01900,Model architectures,recommended,与《Discussion 2: Modern AI architectures》相关；核心贡献需进一步阅读确认。
2025-03-11,Week 6,Multimodal 2: Interactions and fusion,Ten Myths of Multimodal Interaction,https://dl.acm.org/doi/pdf/10.1145/319382.319398,Multimodal learning,must-read,从人机交互角度纠正常见多模态交互假设，帮助避免只从模型指标理解交互系统。
2025-03-11,Week 6,Multimodal 2: Interactions and fusion,Multimodal interaction: A review,https://www.sciencedirect.com/science/article/pii/S0167865513002584,Multimodal learning,recommended,综述或教程性质资料；核心贡献是整理该主题的概念、方法谱系和开放问题。
2025-03-11,Week 6,Multimodal 2: Interactions and fusion,Quantifying & Modeling Multimodal Interactions: An Information Decomposition Framework,https://arxiv.org/abs/2302.12247,Multimodal learning,must-read,用信息分解框架量化和建模多模态交互，有助于判断融合是否真的利用跨模态信号。
2025-03-11,Week 6,Multimodal 2: Interactions and fusion,Does my multimodal model learn cross-modal interactions? It’s harder to tell than you might think!,https://aclanthology.org/2020.emnlp-main.62/,Multimodal learning,must-read,指出识别多模态模型是否学到跨模态交互并不简单，强调评测设计的重要性。
2025-03-13,Week 6,Discussion 3: Multimodal alignment,The Platonic Representation Hypothesis,https://arxiv.org/pdf/2405.07987,"Data, representation, and generalization",recommended,讨论不同模型/模态表示是否向共享语义结构收敛，是理解表示对齐的理论视角。
2025-03-13,Week 6,Discussion 3: Multimodal alignment,What Makes for Good Views for Contrastive Learning?,https://arxiv.org/abs/2005.10243,Multimodal learning,must-read,分析 contrastive learning 中不同 view 设计对表示质量的影响。
2025-03-13,Week 6,Discussion 3: Multimodal alignment,Understanding the Emergence of Multimodal Representation Alignment,https://arxiv.org/pdf/2502.16282,Multimodal learning,recommended,与《Discussion 3: Multimodal alignment》相关；核心贡献需进一步阅读确认。
2025-03-13,Week 6,Discussion 3: Multimodal alignment,Does equivariance matter at scale?,https://arxiv.org/abs/2410.23179,Multimodal learning,recommended,与《Discussion 3: Multimodal alignment》相关；核心贡献需进一步阅读确认。
2025-03-13,Week 6,Discussion 3: Multimodal alignment,Learning Transferable Visual Models From Natural Language Supervision?,https://arxiv.org/pdf/2103.00020,Multimodal learning,must-read,用大规模图文对比学习训练可迁移视觉模型，是 CLIP 路线的代表工作。
2025-03-13,Week 6,Discussion 3: Multimodal alignment,Emerging Properties in Self-Supervised Vision Transformers,https://arxiv.org/pdf/2104.14294,Model architectures,recommended,分析自监督 ViT 中涌现的视觉表示属性。
2025-03-13,Week 6,Discussion 3: Multimodal alignment,"Foundations & trends in multimodal machine learning - Principles, challenges, and open questions",https://arxiv.org/abs/2209.03430,Multimodal learning,recommended,与《Discussion 3: Multimodal alignment》相关；核心贡献需进一步阅读确认。
2025-03-18,Week 7,Multimodal 3: Cross-modal transfer,LLaVA-Med: Training a Large Language-and-Vision Assistant for Biomedicine in One Day,https://arxiv.org/abs/2303.00915v3,Multimodal learning,recommended,把大语言-视觉助手训练到生物医学场景，体现领域数据与视觉指令调优的结合。
2025-03-18,Week 7,Multimodal 3: Cross-modal transfer,DreamLLM: Synergistic Multimodal Comprehension and Creation,https://arxiv.org/abs/2309.11499,Large foundation models,recommended,与《Multimodal 3: Cross-modal transfer》相关；核心贡献需进一步阅读确认。
2025-03-18,Week 7,Multimodal 3: Cross-modal transfer,PaLM-E: An Embodied Multimodal Language Model,https://arxiv.org/abs/2303.03378,Multimodal learning,recommended,将多模态语言模型用于 embodied 场景，连接感知、语言和动作规划。
2025-03-20,Week 7,Discussion 4: Multimodal interactions,Multimodal interaction: A review,https://www.sciencedirect.com/science/article/pii/S0167865513002584,Multimodal learning,recommended,综述或教程性质资料；核心贡献是整理该主题的概念、方法谱系和开放问题。
2025-03-20,Week 7,Discussion 4: Multimodal interactions,Quantifying & Modeling Multimodal Interactions: An Information Decomposition Framework,https://arxiv.org/abs/2302.12247,Multimodal learning,must-read,用信息分解框架量化和建模多模态交互，有助于判断融合是否真的利用跨模态信号。
2025-03-20,Week 7,Discussion 4: Multimodal interactions,Does my multimodal model learn cross-modal interactions? It’s harder to tell than you might think!,https://aclanthology.org/2020.emnlp-main.62/,Multimodal learning,must-read,指出识别多模态模型是否学到跨模态交互并不简单，强调评测设计的重要性。
2025-03-20,Week 7,Discussion 4: Multimodal interactions,Kosmos-2: Grounding Multimodal Large Language Models to the World,https://arxiv.org/abs/2306.14824,Large foundation models,recommended,强调 grounding，把多模态大模型输出与世界/视觉区域建立联系。
2025-03-20,Week 7,Discussion 4: Multimodal interactions,Chameleon: Mixed-modal early-fusion foundation models,https://arxiv.org/abs/2405.09818,Multimodal learning,recommended,探索 mixed-modal early-fusion foundation model，把不同模态更早地放入统一序列建模。
2025-03-20,Week 7,Discussion 4: Multimodal interactions,"MM1: Methods, Analysis and Insights from Multimodal LLM Pre-training",https://link.springer.com/chapter/10.1007/978-3-031-73397-0_18,Large foundation models,recommended,与《Discussion 4: Multimodal interactions》相关；核心贡献需进一步阅读确认。
2025-03-20,Week 7,Discussion 4: Multimodal interactions,MoMa: Efficient Early-Fusion Pre-training with Mixture of Modality-Aware Experts,https://arxiv.org/pdf/2407.21770,Multimodal learning,recommended,与《Discussion 4: Multimodal interactions》相关；核心贡献需进一步阅读确认。
2025-04-01,Week 9,Large models 1: Large foundation models,Training Compute-Optimal Large Language Models,https://arxiv.org/abs/2203.15556,Large foundation models,must-read,提出 compute-optimal scaling 视角，强调参数量与训练 token 数的平衡。
2025-04-01,Week 9,Large models 1: Large foundation models,Super-NaturalInstructions: Generalization via Declarative Instructions on 1600+ NLP Tasks,https://arxiv.org/abs/2204.07705,Large foundation models,recommended,与《Large models 1: Large foundation models》相关；核心贡献需进一步阅读确认。
2025-04-01,Week 9,Large models 1: Large foundation models,LoRA: Low-Rank Adaptation of Large Language Models,https://arxiv.org/abs/2106.09685,Large foundation models,must-read,通过低秩增量矩阵做参数高效微调，降低大模型定制训练成本。
2025-04-01,Week 9,Large models 1: Large foundation models,A Visual Guide to Mixture of Experts (MoE),https://newsletter.maartengrootendorst.com/p/a-visual-guide-to-mixture-of-experts,Large foundation models,optional,以教程形式解释 MoE 的专家路由和容量扩展逻辑，适合理解稀疏大模型设计。
2025-04-01,Week 9,Large models 1: Large foundation models,A Visual Guide to Quantization,https://newsletter.maartengrootendorst.com/p/a-visual-guide-to-quantization,Large foundation models,optional,以教程形式解释量化原理与工程权衡，适合作为部署压缩参考资料。
2025-04-01,Week 9,Large models 1: Large foundation models,Improved Baselines with Visual Instruction Tuning,https://arxiv.org/abs/2310.03744,Large foundation models,recommended,LLaVA 相关视觉指令微调基线，连接 LLM 与视觉输入的指令跟随能力。
2025-04-15,Week 11,Large models 2: Large multimodal models,Quantifying & Modeling Multimodal Interactions: An Information Decomposition Framework,https://arxiv.org/abs/2302.12247,Multimodal learning,must-read,用信息分解框架量化和建模多模态交互，有助于判断融合是否真的利用跨模态信号。
2025-04-15,Week 11,Large models 2: Large multimodal models,Multimodal Transformer for Unaligned Multimodal Language Sequences,https://arxiv.org/abs/1906.00295,Multimodal learning,recommended,面向未对齐多模态序列建模跨模态交互，是多模态 Transformer/fusion 的代表工作。
2025-04-15,Week 11,Large models 2: Large multimodal models,Masked Autoencoders Are Scalable Vision Learners,https://arxiv.org/abs/2111.06377,Large foundation models,must-read,用高比例 mask 的图像重建预训练视觉编码器，证明 MAE 可扩展到强视觉表示。
2025-04-15,Week 11,Large models 2: Large multimodal models,Scaling Laws for Native Multimodal Models Scaling Laws for Native Multimodal Models,https://arxiv.org/abs/2504.07951,Multimodal learning,recommended,与《Large models 2: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-04-15,Week 11,Large models 2: Large multimodal models,Transfer between Modalities with MetaQueries,https://arxiv.org/abs/2504.06256,Multimodal learning,recommended,与《Large models 2: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-04-17,Week 11,Discussion 5: Large language models,LoRA: Low-Rank Adaptation of Large Language Models,https://arxiv.org/abs/2106.09685,Large foundation models,must-read,通过低秩增量矩阵做参数高效微调，降低大模型定制训练成本。
2025-04-17,Week 11,Discussion 5: Large language models,Gated Linear Attention Transformers with Hardware-Efficient Training,https://arxiv.org/abs/2312.06635,Model architectures,recommended,与《Discussion 5: Large language models》相关；核心贡献需进一步阅读确认。
2025-04-17,Week 11,Discussion 5: Large language models,Unintended Impacts of LLM Alignment on Global Representation,https://arxiv.org/abs/2402.15018,Large foundation models,recommended,与《Discussion 5: Large language models》相关；核心贡献需进一步阅读确认。
2025-04-17,Week 11,Discussion 5: Large language models,A Visual Guide to Quantization,https://newsletter.maartengrootendorst.com/p/a-visual-guide-to-quantization,Large foundation models,recommended,以教程形式解释量化原理与工程权衡，适合作为部署压缩参考资料。
2025-04-17,Week 11,Discussion 5: Large language models,Scaling Instruction-Finetuned Language Models,https://arxiv.org/abs/2106.09685,Large foundation models,recommended,与《Discussion 5: Large language models》相关；核心贡献需进一步阅读确认。
2025-04-22,Week 12,Large models 3: Modern generative models,Scalable Diffusion Models with Transformers,https://arxiv.org/abs/2212.09748,Generative models,must-read,把 Diffusion 与 Transformer 结合形成可扩展图像生成模型路线。
2025-04-22,Week 12,Large models 3: Modern generative models,Flow Matching in Latent Space,https://arxiv.org/abs/2307.08698,Generative models,recommended,在 latent space 中使用 flow matching 做生成建模，连接扩散替代路线与高效生成。
2025-04-22,Week 12,Large models 3: Modern generative models,Scaling Rectified Flow Transformers for High-Resolution Image Synthesis,https://arxiv.org/abs/2403.03206,Generative models,recommended,将 rectified flow transformer 扩展到高分辨率图像合成。
2025-04-22,Week 12,Large models 3: Modern generative models,Movie Gen: A Cast of Media Foundation Models,https://arxiv.org/abs/2410.13720,Generative models,recommended,面向视频/媒体生成的 foundation model 资料，体现生成模型从图像扩展到多媒体。
2025-04-24,Week 12,Discussion 6: Large multimodal models,LLaMA-Adapter: Efficient Fine-tuning of Language Models with Zero-init Attention,https://arxiv.org/pdf/2303.16199,Large foundation models,recommended,与《Discussion 6: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-04-24,Week 12,Discussion 6: Large multimodal models,Cobra: Extending Mamba to Multi-Modal Large Language Model for Efficient Inference,https://arxiv.org/pdf/2403.14520,Large foundation models,recommended,与《Discussion 6: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-04-24,Week 12,Discussion 6: Large multimodal models,ModaVerse: Efficiently Transforming Modalities with LLMs,https://arxiv.org/abs/2401.06395,Large foundation models,recommended,与《Discussion 6: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-04-24,Week 12,Discussion 6: Large multimodal models,Spider: Any-to-Many Multimodal LLM,https://arxiv.org/pdf/2411.09439,Large foundation models,recommended,与《Discussion 6: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-04-24,Week 12,Discussion 6: Large multimodal models,SPHINX-X: Scaling Data and Parameters for a Family of Multi-modal Large Language Models,https://arxiv.org/pdf/2402.05935,Large foundation models,recommended,与《Discussion 6: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-04-24,Week 12,Discussion 6: Large multimodal models,How Far Are We to GPT-4V? Closing the Gap to Commercial Multimodal Models with Open-Source Suites,https://arxiv.org/pdf/2404.16821,Multimodal learning,recommended,与《Discussion 6: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-04-24,Week 12,Discussion 6: Large multimodal models,NExT-GPT: Any-to-Any Multimodal LLM,https://arxiv.org/pdf/2309.05519,Large foundation models,recommended,与《Discussion 6: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-04-24,Week 12,Discussion 6: Large multimodal models,Learning to rebalance multi-modal optimization by adaptively masking subnetworks,https://arxiv.org/pdf/2404.08347,Multimodal learning,recommended,与《Discussion 6: Large multimodal models》相关；核心贡献需进一步阅读确认。
2025-05-01,Week 13,Discussion 7: Generative AI,Large Language Diffusion Models,https://arxiv.org/pdf/2502.09992,Generative models,recommended,与《Discussion 7: Generative AI》相关；核心贡献需进一步阅读确认。
2025-05-01,Week 13,Discussion 7: Generative AI,Compositional Generative Modeling: A Single Model is Not All You Need,https://arxiv.org/pdf/2402.01103,Generative models,recommended,与《Discussion 7: Generative AI》相关；核心贡献需进一步阅读确认。
2025-05-01,Week 13,Discussion 7: Generative AI,Flow Matching for Generative Modeling,https://arxiv.org/abs/2210.02747,Generative models,must-read,提出/系统化 flow matching 生成建模框架，是理解 rectified/continuous flow 路线的基础。
2025-05-01,Week 13,Discussion 7: Generative AI,Flow Matching Guide and Code,https://arxiv.org/abs/2412.06264,Generative models,recommended,综述或教程性质资料；核心贡献是整理该主题的概念、方法谱系和开放问题。
2025-05-01,Week 13,Discussion 7: Generative AI,FlowMotion: Target-Predictive Conditional Flow Matching for Jitter-Reduced Text-to-Motion Generation,https://arxiv.org/abs/2504.01338,Generative models,recommended,与《Discussion 7: Generative AI》相关；核心贡献需进一步阅读确认。
2025-05-01,Week 13,Discussion 7: Generative AI,MusFlow: Multimodal Music Generation via Conditional Flow Matching,https://arxiv.org/abs/2504.13535,Generative models,recommended,与《Discussion 7: Generative AI》相关；核心贡献需进一步阅读确认。
2025-05-01,Week 13,Discussion 7: Generative AI,Unraveling the Connections Between Flow Matching and Diffusion Probabilistic Models,https://arxiv.org/abs/2311.07625,Generative models,recommended,与《Discussion 7: Generative AI》相关；核心贡献需进一步阅读确认。
2025-05-01,Week 13,Discussion 7: Generative AI,Exploring Diffusion and Flow Matching Under Generator Matching,https://arxiv.org/abs/2412.11024,Generative models,recommended,与《Discussion 7: Generative AI》相关；核心贡献需进一步阅读确认。
2025-05-06,Week 14,Interaction 1: Interactive agents and reasoning,Deep reinforcement learning from human preferences,https://arxiv.org/abs/1706.03741,Interactive agents and Human-AI interaction,must-read,用人类偏好训练强化学习系统，是 RLHF 思路的重要早期工作。
2025-05-06,Week 14,Interaction 1: Interactive agents and reasoning,Deepseek-r1: Incentivizing reasoning capability in LLMs via reinforcement learning,https://arxiv.org/abs/2501.12948,Interactive agents and Human-AI interaction,recommended,从标题看，该资料讨论用强化学习激励 LLM 推理能力；具体技术细节需进一步阅读确认。
2025-05-06,Week 14,Interaction 1: Interactive agents and reasoning,Faulty reward functions in the wild,https://openai.com/index/faulty-reward-functions/,Interactive agents and Human-AI interaction,recommended,用案例说明 reward 设计失误会导致非预期行为，是 agent alignment 的工程警示。
2025-05-06,Week 14,Interaction 1: Interactive agents and reasoning,Direct preference optimization: Your language model is secretly a reward model,https://arxiv.org/abs/2305.18290,Interactive agents and Human-AI interaction,must-read,把偏好优化转化为直接优化语言模型的目标，绕开显式 reward model 的复杂性。
2025-05-13,Week 15,Interaction 2: Human AI interaction,"Interactive Sketchpad: A Multimodal Tutoring System for Collaborative, Visual Problem-Solving",https://arxiv.org/abs/2503.16434,Interactive agents and Human-AI interaction,recommended,与《Interaction 2: Human AI interaction》相关；核心贡献需进一步阅读确认。
2025-05-13,Week 15,Interaction 2: Human AI interaction,VideoWebArena: Evaluating Multimodal Agents on Video Understanding Web Tasks,https://arxiv.org/abs/2410.19100,Interactive agents and Human-AI interaction,recommended,用视频理解 Web 任务评估多模态 agent，体现 agent 评测从静态 QA 向真实任务迁移。
2025-05-13,Week 15,Interaction 2: Human AI interaction,OpenVLA: An Open-Source Vision-Language-Action Model,https://arxiv.org/abs/2406.09246,Interactive agents and Human-AI interaction,recommended,开源 vision-language-action 模型，连接多模态理解与机器人/动作执行。
2025-05-13,Week 15,Interaction 2: Human AI interaction,ArtPrompt: ASCII Art-based Jailbreak Attacks against Aligned LLMs,https://arxiv.org/abs/2402.11753,Interactive agents and Human-AI interaction,recommended,研究 ASCII art 形式的 jailbreak 攻击，服务于安全与可靠性讨论。
2025-05-13,Week 15,Interaction 2: Human AI interaction,Guidelines for Human-AI Interaction,https://dl.acm.org/doi/abs/10.1145/3290605.3300233,Interactive agents and Human-AI interaction,must-read,总结 Human-AI interaction 设计准则，适合作为交互式 AI 产品评审清单。
